t,x,y,z,
15353,-1.12992712402,0.366602943818,-0.74647691563,
15372,-1.13775555756,0.337158701736,-0.747429916157,
15404,-1.14373416018,0.312402982821,-0.748224955397,
15420,-1.14373416018,0.312402982821,-0.748224955397,
15440,-1.14886855715,0.289089714219,-0.748967171663,
15454,-1.14886855715,0.289089714219,-0.748967171663,
15474,-1.15528574566,0.260042613492,-0.749012407984,
15500,-1.16105581826,0.226101605285,-0.750051173781,
15515,-1.16250760129,0.2165119008,-0.750343027679,
15535,-1.16510339521,0.197890164625,-0.750908709545,
15557,-1.16878327422,0.17100319928,-0.75062282075,
15577,-1.17081360111,0.150634849276,-0.751221036702,
15597,-1.17162999439,0.141273333511,-0.751496231136,
15622,-1.17295246742,0.123871152658,-0.752008887429,
15640,-1.17532912592,0.09185577482,-0.753033850171,
15660,-1.17588656285,0.0757029113967,-0.753515062274,
15677,-1.17627943154,0.0556977623665,-0.754109473471,
15699,-1.17631145629,0.0310665233381,-0.754837042341,
15726,-1.17631145629,0.0310665233381,-0.754837042341,
15743,-1.17619550272,0.0218332172577,-0.755108350571,
15759,-1.17542535746,-0.00694524025312,-0.755826689332,
15783,-1.17412268929,-0.03194683526,-0.756551523233,
15805,-1.17412268929,-0.03194683526,-0.756551523233,
15823,-1.17178909663,-0.0629843471439,-0.757444203809,
15839,-1.16901596155,-0.0912122943692,-0.757189401216,
15859,-1.16780883324,-0.101508171007,-0.757473385355,
15881,-1.16336369525,-0.134335491314,-0.75837943525,
15906,-1.16215000414,-0.142273218803,-0.758598628933,
15921,-1.16215000414,-0.142273218803,-0.758598628933,
15941,-1.15678997775,-0.173761632749,-0.759466333825,
15963,-1.1550390453,-0.182462928259,-0.758971598554,
15986,-1.1550390453,-0.182462928259,-0.758971598554,
16005,-1.14712971155,-0.220074230601,-0.759984212871,
16023,-1.13726665896,-0.260292601743,-0.761068569985,
16042,-1.13295791327,-0.275426526501,-0.76120006405,
16061,-1.12938159268,-0.288021780182,-0.761546777645,
16079,-1.1237004581,-0.307083151885,-0.76207436344,
16102,-1.1208091484,-0.31638270885,-0.762332269709,
16123,-1.11362938431,-0.338442726085,-0.762944187924,
16144,-1.10490487941,-0.363527544533,-0.763640034464,
16162,-1.10501215281,-0.36189021042,-0.763214732839,
16185,-1.09216498016,-0.395960801886,-0.764152608132,
16207,-1.08489053652,-0.4140098263,-0.764649645457,
16226,-1.07947600757,-0.42694692449,-0.765008331092,
16250,-1.0635227591,-0.460802408602,-0.765094907767,
16269,-1.05586317129,-0.477076704823,-0.765540579761,
16289,-1.04841928338,-0.492350520144,-0.76595936747,
16312,-1.0417973203,-0.505519172865,-0.76632247368,
16334,-1.03457914761,-0.519453546323,-0.766708882581,
16352,-1.02509435399,-0.537144421144,-0.767202047289,
16373,-1.00971997577,-0.563243149895,-0.767988936454,
16391,-0.99947492462,-0.580581203387,-0.768481317073,
16419,-0.995399580224,-0.587307710134,-0.768672605017,
16434,-0.979658704379,-0.61244273078,-0.769388062586,
16453,-0.971151659266,-0.624909542487,-0.769397118582,
16472,-0.965726309014,-0.63303936422,-0.769627692262,
16491,-0.956853635542,-0.646049590298,-0.769997091347,
16511,-0.942975278682,-0.665729243934,-0.770558834936,
16529,-0.933560080844,-0.678643021408,-0.770929897875,
16549,-0.919152129414,-0.696461906455,-0.771674046796,
16569,-0.911409511665,-0.706408496345,-0.771967627196,
